X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
7.4314100,50.6017400,5,100,0,0
7.4361100,52.0650000,5,100,0,0
7.5004600,51.4114900,5,100,0,0
9.9426200,52.4499500,5,100,0,0
9.9746900,52.4727600,5,100,0,0
19.0474900,47.4903500,1,40,0,0
19.1400000,47.5037200,2,50,0,0
19.1556800,47.4759600,2,50,0,0
19.1517800,47.4781900,2,50,0,0
19.1831500,47.4555700,2,50,0,0
19.0332300,47.4513300,2,50,0,0
19.0256000,47.4784500,2,60,0,0
19.0634600,47.4735700,2,50,0,0
19.0642200,47.4691000,2,50,0,0
19.0138000,47.4651300,2,70,0,0
19.0609300,47.4777700,2,50,0,0
19.0544200,47.5256400,2,50,0,0
19.0749900,47.5537700,2,50,0,0
19.0764900,47.5204000,2,50,0,0
19.0501200,47.5188100,2,50,0,0
19.0875800,47.5443600,2,50,0,0
19.0966700,47.5010500,2,50,0,0
19.1002700,47.5043800,2,50,0,0
19.1046200,47.5066400,2,70,0,0
17.8725700,46.8461000,1,50,2,68
19.1157700,47.5075300,2,50,0,0
19.0912100,47.5018500,2,50,0,0
19.0954200,47.5243000,2,70,0,0
19.1027200,47.5334200,2,50,0,0
19.0932400,47.5224300,2,70,0,0
19.1158800,47.5446200,2,50,0,0
19.1186100,47.5471000,2,50,0,0
19.1241300,47.5512800,2,50,0,0
19.2127100,47.4445400,2,50,0,0
19.1263600,47.4466300,2,70,0,0
19.1221600,47.4494700,2,70,0,0
19.1342600,47.4585000,2,50,0,0
10.5153500,47.7784900,5,100,0,0
10.5252000,53.0950000,5,100,0,0
10.5264200,52.4053800,5,100,0,0
10.5758800,52.9436000,5,100,0,0
10.6486300,51.0596800,5,100,0,0
10.6575000,51.0481800,5,100,0,0
10.6701000,51.0335200,5,100,0,0
10.6855000,51.0075000,5,100,0,0
10.6947600,50.9810500,5,100,0,0
10.7076000,52.0859300,5,100,0,0
18.9753086,47.3142843,1,0,0,0
19.1111600,47.4133400,2,50,0,0
2.8022200,48.3669400,5,70,0,0
2.8482000,50.5804400,5,70,0,0
2.7636500,48.1322200,5,70,0,0
2.7637300,48.1526600,5,70,0,0
19.0720500,47.4441300,2,50,0,0
19.0721100,47.4613800,2,50,0,0
19.1443200,47.4361800,2,70,0,0
19.2212600,47.4393700,2,50,0,0
19.2291100,47.4612300,2,50,0,0
19.1120300,47.5422800,2,50,0,0
19.1075700,47.5389200,2,50,0,0
18.9867000,47.5176600,2,50,0,0
19.0503000,47.4683300,2,50,0,0
19.0462400,47.4481600,2,50,0,0
18.9943100,47.4562900,2,50,0,0
19.1696000,47.4607200,2,50,0,0
19.1093100,47.4655600,2,50,0,0
