Funds	
null	
Price search	

Instrument's name	ISIN	Euronext code	Market	Symbol	Trading currency	Last	Volume	D/D-1 (%)	Date - time (CET)	Turnover	Trading mode	Day First	Day High	Day High / Date - time (CET)	Day Low	Day Low / Date - time (CET)	 31-12/Change (%)	 31-12/High	 31-12/High/Date	 31-12/Low	 31-12/Low/Date	 52 weeks/Change (%)	 52 weeks/High	 52 weeks/High/Date	 52 weeks/Low	 52 weeks/Low/Date	Halted	Halted / Date - time (CET)	Halted	Halted / Date - time (CET)
FSB EURORENT FD	NL0000286052	NL0000286052	AMS	FBREN	EUR	23.4	1 425	-0.21	16/07/09 10:00	33 345	null	23.4	23.4	16/07/09 10:00	23.4	16/07/09 10:00	-4.65	24.66	02/01/09	22.65	08/06/09	-2.17	25.04	04/12/08	22.65	08/06/09	-	-	-	-
HIMALAYAN FUND NV	NL0000464154	NL0000464154	AMS	HIMFD	USD	37.45	0	0	10/07/09 10:00	0	null	37.45	0	-	0	-	-100	26.63	02/01/09	0	-	-100.00	49.1	08/08/08	-	08/06/09	-	-	-	-
IDB ALCHEMY	NL0000286391	NL0000286391	AMS	INSAC	EUR	20.04	1 920	-0.4	16/07/09 10:00	38 477	null	20.04	20.04	16/07/09 10:00	20.04	16/07/09 10:00	6.37	21.45	11/06/09	16.48	09/03/09	-17.19	26.12	19/08/08	16.48	09/03/09	-	-	-	-
IDB EMERG COMP	NL0000293207	NL0000293207	AMS	INSEM	EUR	17.07	959	0.47	15/07/09 10:00	16 370	null	17.07	17.07	15/07/09 10:00	17.07	15/07/09 10:00	6.09	17.97	09/06/09	13.75	11/03/09	-29.14	25.89	03/09/08	13.75	11/03/09	-	-	-	-
IDB EQTY INCOME	NL0000285609	NL0000285609	AMS	INSTV	EUR	34.16	4 871	1.46	16/07/09 10:00	166 393	null	34.16	34.16	16/07/09 10:00	34.16	16/07/09 10:00	-3.28	37.24	08/01/09	29.84	10/03/09	-17.98	46.25	13/08/08	29.84	10/03/09	-	-	-	-
IDB GLOB CONVERT	NL0000285567	NL0000285567	AMS	INSGL	EUR	36.02	9 210	1.27	16/07/09 10:00	331 744	null	36.02	36.02	16/07/09 10:00	36.02	16/07/09 10:00	9.42	37.05	11/05/09	31.58	10/03/09	-19.71	45.03	01/08/08	29.95	24/11/08	-	-	-	-
IDB MM INTER EQTY	NL0000284883	NL0000284883	AMS	IDBIE	EUR	136.24	481	-1.59	15/07/09 10:00	65 531	null	136.24	136.24	15/07/09 10:00	136.24	15/07/09 10:00	10.26	143.72	16/06/09	112.27	10/03/09	-17.85	179.71	11/09/08	112.27	10/03/09	-	-	-	-
IDB REALEST EQT FD	NL0000285591	NL0000285591	AMS	INSRE	EUR	91.01	563	1.22	16/07/09 10:00	51 239	null	91.01	91.01	16/07/09 10:00	91.01	16/07/09 10:00	6.38	96.3	15/06/09	75.03	10/03/09	-6.36	101.62	08/09/08	75.03	10/03/09	-	-	-	-
ING AEX SHADOW	NL0000292738	NL0000292738	AMS	INGAX	EUR	26.48	48	3.48	16/07/09 10:00	1 271	null	26.48	26.48	16/07/09 10:00	26.48	16/07/09 10:00	5.62	27.3	03/06/09	20.35	10/03/09	-34.70	42.98	03/09/08	20.35	10/03/09	-	-	-	-
ING BASIC MAT FD 6	NL0000289882	NL0000289882	AMS	INGBM	EUR	36.84	2 232	2.88	16/07/09 10:00	82 227	null	36.84	36.84	16/07/09 10:00	36.84	16/07/09 10:00	34.65	40.96	03/06/09	26.85	04/03/09	-38.86	59.02	01/08/08	23.92	21/11/08	-	-	-	-
